industry,ticker,name,ksic_code
조선·조선기자재,009540,HD한국조선해양,
조선·조선기자재,042660,한화오션,
조선·조선기자재,010140,삼성중공업,
조선·조선기자재,329180,HD현대중공업,
조선·조선기자재,460930,현대힘스,
조선·조선기자재,075580,세진중공업,
조선·조선기자재,443060,HD현대마린솔루션,
조선·조선기자재,082740,한화엔진,
조선·조선기자재,077970,STX엔진,
조선·조선기자재,073010,케이에스피,
조선·조선기자재,014940,오리엔탈정공,
조선·조선기자재,096350,대창솔루션,
조선·조선기자재,044490,태웅,
조선·조선기자재,004140,동방,
조선·조선기자재,101930,인화정공,
방산·항공,012450,한화에어로스페이스,
방산·항공,064350,현대로템,
방산·항공,047810,한국항공우주,
방산·항공,103140,풍산,
방산·항공,003570,SNT다이내믹스,
방산·항공,272210,한화시스템,
방산·항공,214430,아이쓰리시스템,
방산·항공,010820,퍼스텍,
방산·항공,448710,코츠테크놀로지,
방산·항공,003800,에이스침대,
전력기기·중전기,298040,효성중공업,
전력기기·중전기,267260,HD현대일렉트릭,
전력기기·중전기,103590,일진전기,
전력기기·중전기,033100,제룡전기,
전력기기·중전기,001440,대한전선,
전력기기·중전기,000500,가온전선,
전력기기·중전기,062040,산일전기,
전력기기·중전기,006260,LS,
전력기기·중전기,042370,비츠로테크,
전력기기·중전기,082920,비츠로셀,
전력기기·중전기,017040,광명전기,
전력기기·중전기,189860,서전기전,
시멘트·건자재,183190,아세아시멘트,
시멘트·건자재,300720,한일시멘트,
시멘트·건자재,038500,삼표시멘트,
시멘트·건자재,004980,성신양회,
시멘트·건자재,010130,고려아연,
시멘트·건자재,108670,LX하우시스,
시멘트·건자재,017800,현대엘리베이터,
시멘트·건자재,006390,한일현대시멘트,
시멘트·건자재,023410,유진기업,
환경·폐기물·수처리,029960,코엔텍,
환경·폐기물·수처리,067900,와이엔텍,
환경·폐기물·수처리,060150,인선이엔티,
환경·폐기물·수처리,043910,자연과환경,
환경·폐기물·수처리,126880,제이엔케이글로벌,
원자력·발전정비,034020,두산에너빌리티,
원자력·발전정비,052690,한전기술,
원자력·발전정비,051600,한전KPS,
원자력·발전정비,105840,우진,
원자력·발전정비,083650,비에이치아이,
원자력·발전정비,046120,오르비텍,
원자력·발전정비,094820,일진파워,
원자력·발전정비,140520,대창스틸,
